Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,154.490005,154.490005,154.490005,154.490005,154.490005,0
2023-01-04,156.800003,156.800003,156.800003,156.800003,156.800003,0
2023-01-05,154.199997,154.199997,154.199997,154.199997,154.199997,0
2023-01-06,157.500000,157.500000,157.500000,157.500000,157.500000,0
2023-01-09,158.960007,158.960007,158.960007,158.960007,158.960007,0
2023-01-10,159.610001,159.610001,159.610001,159.610001,159.610001,0
2023-01-11,161.869995,161.869995,161.869995,161.869995,161.869995,0
2023-01-12,162.300003,162.300003,162.300003,162.300003,162.300003,0
2023-01-13,163.059998,163.059998,163.059998,163.059998,163.059998,0
2023-01-17,163.240005,163.240005,163.240005,163.240005,163.240005,0
2023-01-18,162.259995,162.259995,162.259995,162.259995,162.259995,0
2023-01-19,159.070007,159.070007,159.070007,159.070007,159.070007,0
2023-01-20,161.059998,161.059998,161.059998,161.059998,161.059998,0
2023-01-23,162.570007,162.570007,162.570007,162.570007,162.570007,0
2023-01-24,163.070007,163.070007,163.070007,163.070007,163.070007,0
2023-01-25,163.149994,163.149994,163.149994,163.149994,163.149994,0
2023-01-26,163.919998,163.919998,163.919998,163.919998,163.919998,0
2023-01-27,164.740005,164.740005,164.740005,164.740005,164.740005,0
2023-01-30,163.330002,163.330002,163.330002,163.330002,163.330002,0
2023-01-31,165.919998,165.919998,165.919998,165.919998,165.919998,0
2023-02-01,167.979996,167.979996,167.979996,167.979996,167.979996,0
2023-02-02,170.580002,170.580002,170.580002,170.580002,170.580002,0
2023-02-03,169.619995,169.619995,169.619995,169.619995,169.619995,0
2023-02-06,167.179993,167.179993,167.179993,167.179993,167.179993,0
2023-02-07,167.410004,167.410004,167.410004,167.410004,167.410004,0
2023-02-08,167.050003,167.050003,167.050003,167.050003,167.050003,0
2023-02-09,166.119995,166.119995,166.119995,166.119995,166.119995,0
2023-02-10,165.360001,165.360001,165.360001,165.360001,165.360001,0
2023-02-13,166.880005,166.880005,166.880005,166.880005,166.880005,0
2023-02-14,166.740005,166.740005,166.740005,166.740005,166.740005,0
2023-02-15,167.520004,167.520004,167.520004,167.520004,167.520004,0
2023-02-16,166.690002,166.690002,166.690002,166.690002,166.690002,0
2023-02-17,166.889999,166.889999,166.889999,166.889999,166.889999,0
2023-02-21,164.380005,164.380005,164.380005,164.380005,164.380005,0
2023-02-22,163.750000,163.750000,163.750000,163.750000,163.750000,0
2023-02-23,163.839996,163.839996,163.839996,163.839996,163.839996,0
2023-02-24,162.050003,162.050003,162.050003,162.050003,162.050003,0
2023-02-27,163.139999,163.139999,163.139999,163.139999,163.139999,0
2023-02-28,162.419998,162.419998,162.419998,162.419998,162.419998,0
2023-03-01,161.259995,161.259995,161.259995,161.259995,161.259995,0
2023-03-02,162.250000,162.250000,162.250000,162.250000,162.250000,0
2023-03-03,164.320007,164.320007,164.320007,164.320007,164.320007,0
2023-03-06,164.139999,164.139999,164.139999,164.139999,164.139999,0
2023-03-07,161.880005,161.880005,161.880005,161.880005,161.880005,0
2023-03-08,162.289993,162.289993,162.289993,162.289993,162.289993,0
2023-03-09,161.179993,161.179993,161.179993,161.179993,161.179993,0
2023-03-10,158.869995,158.869995,158.869995,158.869995,158.869995,0
2023-03-13,158.190002,158.190002,158.190002,158.190002,158.190002,0
2023-03-14,160.570007,160.570007,160.570007,160.570007,160.570007,0
2023-03-15,157.500000,157.500000,157.500000,157.500000,157.500000,0
2023-03-16,null,null,null,null,null,null
2023-03-17,157.080002,157.080002,157.080002,157.080002,157.080002,0
2023-03-20,158.570007,158.570007,158.570007,158.570007,158.570007,0
2023-03-21,159.639999,159.639999,159.639999,159.639999,159.639999,0
2023-03-22,157.809998,157.809998,157.809998,157.809998,157.809998,0
2023-03-23,157.889999,157.889999,157.889999,157.889999,157.889999,0
